manual_keys,index_column,en,cs,fr,de,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
main-menu.items.logout,14,Log out,Odhlásit se,Se déconnecter,Abmelden,,Performed,Found,Log out,Logout,1,main-menu.items.logout,
dashboard.section-1.heading,15,Who am I,Kdo jsem,Qui suis-je ?,Wer bin ich,,Performed,Found,Who am I,Who I am,0.6,dashboard.section-1.heading,
dashboard.section-1.perex,16,Before you set where you are heading it's good to know from where you started.,"Než si určíte směr, kam míříte, je dobré vědět, kde začínáte.","Avant d'établir votre objectif, il est bon de savoir d'où vous partez.","Bevor Sie sich festlegen, wo Sie hinwollen, ist es gut zu wissen, wo Sie angefangen haben",,Performed,Found,Before you set where you are heading it's good to know from where you started.,Before you set where you are heading it's good to know from where you start,0.975609756097561,dashboard.section-1.perex,
dashboard.cards.strengths.title.filled,17,My strengths,Mé silné stránky,Mes forces,Meine Stärken,dashboard.cards.strengths.title.filled,,,My strengths,,,,
,18,Set my values,Určit si své hodnoty,Déterminer mes valeurs,Meine Werte bestimmen,dashboard.cards.values.title.empty,,,Set my values,,,,
,19,My notes,Moje poznámky,Mes notes,Meine Notizen,dashboard.cards.notes.title,,,My notes,,,,
dashboard.cards.notes.placeholder.empty,20,Type something...,Napište něco...,Écrivez quelque chose…,Schreibe etwas ...,,Performed,Found,Type something...,Type something,0.8888888888888888,dashboard.cards.notes.placeholder.empty,
,21,Who to become,Kým se stát,Qui devenir?,Wo möchte ich hin,dashboard.section-2.heading,,,Who to become,,,,
,22,Become a better leader and here is how you get there.,Staňte se lepším leaderem a tímto se tam dostanete.,Devenez un meilleur leader et voici comment vous y parviendrez.,Werden Sie eine bessere Führungskraft und hier finden Sie den Weg dazu,dashboard.section-2.perex,,,Become a better leader and here is how you get there.,,,,
dashboard.rightmenu.actions.set-area,23,Define your development path,Určení oblasti pro svůj rozvoj,Définir un périmètre pour son développement.,Bereich für meine Weiterentwicklung festlegen,,Performed,Found,Define your development path,Set area for your development,0.5833333333333334,sessions.new.steps.area.heading,
,24,My leadership journey,Moje leadership cesta,Mon chemin vers le leadership,Meine Führungsreise,dashboard.rightmenu.title,,,My leadership journey,,,,
,25,No upcoming sessions,Není nastaven osobní rozvoj,Aucunes sessions à venir.,Keine Persönlichkeitsentwicklung vorhanden,dashboard.rightmenu.upcoming.title.empty,,,No upcoming sessions,,,,
dashboard.rightmenu.upcoming.perex.empty,26,Sessions with a coach will appear here,Osobní rozvoj s koučem se zobrazí zde,Les sessions avec un coach/formateur vont être visibles ici.,Persönlichkeitsentwicklung mit einem Couch werden hier erscheinen,,Performed,Found,Sessions with a coach will appear here,Sessions with a coach will apear here,0.9836065573770492,dashboard.rightmenu.upcoming.perex.empty,
dashboard.rightmenu.upcoming.start,27,Start session,Spustit osobní rozvoj,Démarrer une session,Persönlichkeitsentwicklung starten,,Performed,Found,Start session,Start Session,0.8181818181818182,dashboard.rightmenu.upcoming.start,
,28,Actions,Aktivity,Les actions,Aktionen,dashboard.rightmenu.actions.heading,,,Actions,,,,
,29,No actions set,Aktivity nejsou určeny,Aucune action définie.,Keine Aktionen festgelegt,dashboard.rightmenu.actions.title.empty,,,No actions set,,,,
dashboard.rightmenu.upcoming.perex.empty,30,"Once you set a goal, actions will apear here","Jakmile si stanovíte cíl, aktivity se zobrazí zde","Dès lors que vous établissez un objectif, les actions/tâches apparaîtront ici.","Sobald Sie ein Ziel festgelegt haben, werden Aktionen hier angezeigt",dashboard.rightmenu.actions.perex.empty,,,"Once you set a goal, actions will apear here",,,,
,31,Notifications,Oznámení,Les notifications,Benachrichtigungen,general.notifications,,,Notifications,,,,
,32,Chat with,Chatovat s,Échanger avec,Unterhalten mit,,Performed,Found,Chat with,Shared with,0.5,feedback.results.shared-with,
,33,Cancel,Zrušit,Annuler,Abbrechen,assessment.external.cancel|clients.add-client.cancel|clients.upcoming.decline-session|coaches.contact.button.cancel|feedback.create.share-modal.cancel|general.cancel|settings.admin.member.cancel|settings.general.button.cancel,,,Cancel,,,,
,34,Send,Poslat,Envoyer,Senden,coaches.contact.button.send|messages.conversation.send,,,Send,,,,
,35,Back to the dashboard,Zpět na přehled,Retour au tableau de board.,Zurück zur Übersicht,assessment.header.back|feedback.create.heading|strengths.header.back|values.header.back,,,Back to the dashboard,,,,
,36,Back,Zpět  ,Revenir,Zurück  ,assessment.button.back|controls.back,,,Back,,,,
,37,Next,Další,Suivant,Nächste,assessment.button.next|controls.next|sessions.new.steps.area.next,,,Next,,,,
,38,Not me at all,To vůbec nejsem já,Ne me correspond pas du tout.,Das trifft überhaupt nicht auf mich zu,score.min,,,Not me at all,,,,
,39,Totally me,Úplně já,Me correspond entièrement.,Absolut ich ,score.max,,,Totally me,,,,
,40,Save assessment,Uložit vyhodnocení,Enregistrer l'évaluation.,Beurteilung sichern,assessment.menu.save,,,Save assessment,,,,
,41,Find my strengths assessment,Vyhodnocení mých silných stránek,Retrouver l'évaluation de mes atouts.,Beurteilung meiner Stärken,assessment.menu.title|strengths.aside.title,,,Find my strengths assessment,,,,
,42,Progress,Postup,Méthodologie,Methode,assessment.menu.progress,,,Progress,,,,
,43,Questions,Otázky,Questions.,Fragen,assessment.menu.questions|feedback.create.stats.questions,,,Questions,,,,
,44,Responses,Odpovědi,Réponses.,Antworten,assessment.menu.responses,,,Responses,,,,
strengths.heading.title,45,Here are my strengths,Zde jsou moje silné stránky,Voici mes forces,Meine Stärken,,Performed,Found,Here are my strengths,Here are your strengths,0.7777777777777778,strengths.heading.title,
,,,,,,clients.add-client.modal.desc|sessions.edit.steps.align.perex|settings.user-profile.field.businessStrategy.placeholder|settings.user-profile.field.company.placeholder|settings.user-profile.field.username.placeholder,,,,,,,
strengths.heading.perex,46,"Successful leaders spend most of their time developing their strengths and applying them in the workplace, while simultaneously managing their weaknesses. By understanding their strengths fully, they are able to focus more clearly on what they excel at.","Úspěšní leadeři tráví většinu času rozvojem a využíváním svých silných stránek a zároveň jsou si vědomi těch slabých. Tím, že plně pochopí své silné stránky, jsou lépe schopni soustředit se na to, v čem jsou dobří.","Les leadersqui réussissent passent la plupart de leur temps à développer leurs forces et à les appliquer sur leur lieu de travail, tout en prenant en compte leurs faiblesses.","Erfolgreiche Führungskräfte verbringen die meiste Zeit damit, ihr Stärken zu entwickeln und am Arbeitsplatz einzusetzen, während sie gleichzeitig ihre Schwächen in den Griff bekommen. Wenn Sie ihre Stärken vollständig verstehen, können sie sich besser auf das konzentrieren, was sie besonders gut können",,Performed,Found,"Successful leaders spend most of their time developing their strengths and applying them in the workplace, while simultaneously managing their weaknesses. By understanding their strengths fully, they are able to focus more clearly on what they excel at.","One might say that If you value family, that it's one of the essential things you can cultivate. Family is a place where you can share love, joy and support. Family is one of the most important things given to a human being. If things work well in the family, then everyone within has hope, advice, comfort, security and much more. It's one of the most important things for a child's growth. If we have the opportunity, the ideal is that we all contribute to creating the best family possible.",0.46601941747572817,dict.values.family.description,
,47,History,Předešlé záznamy,Historique,Historie,strengths.aside.perex|values.aside.perex,,,History,,,,
,48,Assessment completed,Vyhodnocení dokončeno,Session terminée.,Beurteilung abgeschlossen,,Performed,Found,Assessment completed,Retake assessment,0.5454545454545454,strengths.aside.retake-button,
,49,Retake assessment,Zopakovat vyhodnocení,Recommencer la session.,Beurteilung wiederholen,strengths.aside.retake-button,,,Retake assessment,,,,
,50,Initiator,Iniciátor,Initiateur.,Urheber,dict.talents.initiator.name,,,Initiator,,,,
,51,Flexible,Flexibilní,Flexible,Flexibel ,dict.talents.flexible.name,,,Flexible,,,,
,52,Analyser,Analytik,Analyste,Analysator,dict.talents.analyser.name,,,Analyser,,,,
,53,Believer,Hodnotový,Croyant,An die Werte glauben,dict.talents.believer.name,,,Believer,,,,
,54,Ideamaker,Plný nápadů,Créateur d'idées,Ideenmacher,dict.talents.ideamaker.name,,,Ideamaker,,,,
,55,Coach,Kouč ,Formateur,Coach,dict.talents.coach.name|team.members.table.col.coach,,,Coach,,,,
,56,Leader,Leader,Leader,Führungsperson,dict.talents.leader.name,,,Leader,,,,
,57,Communicator,Řečník,Orateur,Vermittler,dict.talents.communicator.name,,,Communicator,,,,
,58,Challenger,Vyzyvatel,Défieur,Herausforderer,dict.talents.challenger.name,,,Challenger,,,,
,59,Connector,Propojovatel,Rassembleur,Verbindungsglied,dict.talents.connector.name,,,Connector,,,,
,60,Empathizer,Empatický,Empathique,Einfühlsam,dict.talents.empathizer.name,,,Empathizer,,,,
,61,Concentrated,Koncentrovaný,Concentré,konzentriert,dict.talents.concentrated.name,,,Concentrated,,,,
,62,Lover of order,Milovník pořádku,Amoureux des ordres.,Liebhaber der Ordnung,dict.talents.loverOfOrder.name,,,Lover of order,,,,
dict.talents.selfDeveloper.name,63,Self-Developer,Seberozvojový,Auto-développeur,Selbständiger Entwickler,,Performed,Found,Self-Developer,Self-developer,0.8461538461538461,dict.talents.selfDeveloper.name,
,64,Positive,Pozitivní,Positif,positiv,dict.talents.positive.name,,,Positive,,,,
dict.talents.responsible.name,65,Reliable,Spolehlivý,Fiable,zuverlässig,,Performed,Found,Reliable,Reliability,0.5882352941176471,dict.values.reliability.name,
dict.talents.selfBeliever.name,66,Self-Believer,Věřící si,Confiant,Selbst an eine Sache glauben,,Performed,Found,Self-Believer,Self-believer,0.8333333333333334,dict.talents.selfBeliever.name,
,67,Solver,Řešitel,Trouveur de solutions,Problemlöser,dict.talents.solver.name,,,Solver,,,,
,68,Strategist,Stratég,Stratège,Stratege,dict.talents.strategist.name,,,Strategist,,,,
,69,Intellectual,Intelektuál,Intellectuel,intellektuell,dict.talents.intellectual.name,,,Intellectual,,,,
strengths.first.summary,70,"Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.","Věděli jste, že máte mnohem větší potenciál pro růst, když investujete energii do rozvoje svých silných stránek? Mnoho výzkumů ukázalo, jak přístup založený na silných stránkách zlepšuje Vaši důvěru, směřování a také laskavost vůči druhým.","Saviez-vous que vous aviez bien plus de potentiel de croissance lorsque vous investissez de l'énergie dans le développement de vos forces? De nombreuses recherches ont prouvé qu'une approche basée sur vos forces améliore votre confiance en vous, la définition de vos directions et votre gentillesse envers les autres.","Wussten Sie, dass Sie viel mehr Wachstumspotenzial haben, wenn Sie Energie in die Entwicklung Ihrer Stärken investieren? Viele Untersuchungen haben gezeigt, dass ein stärkenbasierter Ansatz Ihr Selbstvertrauen, Ihre Orientierung und Ihre Freundlichkeit gegenüber anderen verbessert.",,Performed,Found,"Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.","""Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.""",0.9949238578680203,strengths.first.summary,
strengths.second.summary,71,"Whilst the list of your Top 5 strengths show you the areas where you have the greatest potential to use your natural talents, here you can see the next five strengths that you should acknowledge as well. They might be a big help in your professional and private life journey.","Zatímco seznam vašich 5 nejlepších stránek ukazuje oblasti, kde máte svůj největší potenciál, zde vidíte dalších pět talentů, kterých byste si měli být také vědomi. Ty by mohly být velkou pomocí na Vaší profesionální a osobní životní cestě.","Alors que la liste de vos 5 meilleurs atouts démontre les domaines où vous avez le plus gros potentiel d'utiliser vos talents naturels, voici les 5 atouts suivants que vous devriez prendre également en compte. Ils peuvent être d'une grande aide dans votre vie professionnelle ainsi que dans votre parcours personnel.","Während die Liste Ihrer Top-5-Stärken Ihnen zeigt, in welchen Bereichen Sie Ihre natürlichen Talente am besten einsetzen können, sehen Sie hier die nächsten fünf Stärken, die Sie ebenfalls anerkennen sollten. Sie könnten Ihnen auf Ihrem beruflichen und privaten Lebensweg eine große Hilfe sein.",,Performed,Found,"Whilst the list of your Top 5 strengths show you the areas where you have the greatest potential to use your natural talents, here you can see the next five strengths that you should acknowledge as well. They might be a big help in your professional and private life journey.","""Whilst the list of your Top 5 strengths shows you the areas where you have the greatest potential to use your natural talents, here you can see the next five stenghts that you should be also aware of. They might be a big help in your professional and private life journey.""",0.90625,strengths.second.summary,
strengths.third.summary,72,"In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking. ","Povědomí o vašich slabších stránkách Vám pomůže vyhnout se hlavním překážkám. Pokuste se spolupracovat s někým, u kterého jsou naopak tyto talenty předností. ","Peut importe le rôle, il est bon de connaître les domaines où vous avez plus de faiblesses. Dans de nombreux cas, le simple fait d'en être conscient peut éviter de principaux obstables. Essayez d'établir des systèmes qui vous permettront des les contrôler ou de collaborer avec quelqu'un qui a plus de talent dans ces domaines où vous êtes plus faible.","Es ist gut, die Bereiche zu kennen, in denen man weniger talentiert ist. In vielen Fällen können Sie große Hindernisse vermeiden, wenn Sie sich einfach nur über Ihre schwächeren Talente im Klaren sind. Versuchen Sie entweder, Systeme zur Bewältigung dieser Probleme einzurichten oder eine Partnerschaft mit jemandem einzugehen, der in den Bereichen, in denen Sie weniger begabt sind, mehr Talent hat.",,Performed,Found,"In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking. ","""In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking.""",0.995850622406639,strengths.third.summary,
,73,"""Don't stop me now!"" Do you find yourself often in a situation where you just need to take action?","„Nezastavujte mě teď!“ Nacházíte se často v situaci, kdy prostě musíte jednat?","""Ne m'arrête pas maintenant!"" Vous retrouvez-vous souvent dans des situations où vous avez juste besoin d'agir?","""Halten Sie mich jetzt nicht auf!"" Befinden Sie sich oft in einer Situation, in der Sie einfach etwas unternehmen müssen?",dict.questions.initiator_01,,,"""Don't stop me now!"" Do you find yourself often in a situation where you just need to take action?",,,,
dict.questions.flexible_01,74,"""I can adapt easily to various changes."" Is that you?","""Dokážu se snadno přizpůsobit různým změnám."" Jste to Vy?","""Je peux m'adapter facilement à différents changements?"" Est-ce vous?","""Ich kann mich leicht an verschiedene Veränderungen anpassen."" Sind Sie das?",,Performed,Found,"""I can adapt easily to various changes."" Is that you?","""I can adapt easily to different changes."" Is that you?",0.7954545454545454,dict.questions.flexible_01,
,75,"""I love it when I can back things up with facts and logical thinking.""","""Miluji to, když můžu věci podpořit fakty a logickým myšlením.""",""" J'adore quand je peux assurer des choses grâce à des preuves réelles et une réflexion logique.""","""Ich liebe es, wenn ich Dinge mit Fakten und logischem Denken untermauern kann.""",dict.questions.analyser_01,,,"""I love it when I can back things up with facts and logical thinking.""",,,,
,76,"""Don't question my values! I don't compromise important things in my life.""","""Nezpochybňujte mé hodnoty! Nedělám kompromisy v důležitých věcech v mém životě.""",""" Ne remettez-pas en question mes valeurs! Dans ma vie je ne fais pas de compromis avec les choses importantes.""","""Stellen Sie meine Werte nicht in Frage! Ich mache keine Kompromisse bei den wichtigen Dingen in meinem Leben.""",dict.questions.believer_01,,,"""Don't question my values! I don't compromise important things in my life.""",,,,
,77,"""Do I have new ideas?! Plenty and often!""","""Jestli mám nové nápady?! Ano, spoustu a často!""","""Est-ce que j'ai de nouvelles idées?! Oui, de nombreuses et souvent!""","""Habe ich neue Ideen?! Reichlich und oft!""",dict.questions.ideamaker_01,,,"""Do I have new ideas?! Plenty and often!""",,,,
,78,"""Come on, you can do it!"" Do you like to help others to succeed?","""No tak, ty to zvládneš!"" Rádi pomáháte ostatním k úspěchu?","""Allez, tu peux y arriver! Aimes-tu aider les autres à réussir?""","""Komm schon, du kannst es schaffen!"" Helfen Sie gerne anderen zum Erfolg?",dict.questions.coach_01,,,"""Come on, you can do it!"" Do you like to help others to succeed?",,,,
,79,"""When I feel it's important, I am not afraid to take charge.""","""Nebojím se vzít si na starost důležité věci.""","""Dès lors que je ressens que c'est important, je n'ai pas peur de prendre les choses en main.""","""Wenn ich das Gefühl habe, dass es wichtig ist, habe ich keine Angst, die Verantwortung zu übernehmen.",dict.questions.leader_01,,,"""When I feel it's important, I am not afraid to take charge.""",,,,
dict.questions.communicator_01,80,"You like to host, speak and be listened to. Is that your style?","„Rád mluvím a veřejně vystupuji"". Je to Váš styl?","""J'aime accueillir, parler et être écouté."" Est-ce votre style?","Sie mögen es, Gastgeber zu sein, zu sprechen und angehört zu werden. Ist das Ihr Stil?",,Performed,Found,"You like to host, speak and be listened to. Is that your style?","""You like to host, speak and be listened to. Is that your style?""",0.9803921568627451,dict.questions.communicator_01,
,81,"""I'll win, I'll win. I was born to win!""","""Vyhraju, vyhraju. Narodil jsem se, abych vyhrál/a!"" Sedí to na Vás?","""Je vais gagner, je vais gagner. Je suis né pour gagner.""","""Ich werde gewinnen, ich werde gewinnen. Ich wurde geboren, um zu gewinnen!""",dict.questions.challenger_01,,,"""I'll win, I'll win. I was born to win!""",,,,
,82,"""Come on guys, just agree on something!"" I am the bridge builder.","""No tak, lidi, už se na něčem shodněte!"" Já stavím mosty. ","Allez, mettez-vous d'accord sur quelque chose!"" Je suis le médiateur.","""Kommt schon, Leute, einigt euch einfach auf etwas!"" Ich bin der Brückenbauer.",dict.questions.mediator_01,,,"""Come on guys, just agree on something!"" I am the bridge builder.",,,,
,83,"""I know how you feel. I share your perspective."" Does that sound like you?","""Vím, jak se cítíš. Sdílím tvoje starosti."" Zní to jako Vy?","""Je sais ce que tu ressens. Je partage ton point de vue."" Est-ce que cela vous ressemble?","""Ich weiß, wie Sie sich fühlen. Ich teile Ihre Perspektive."" Hört sich das nach Ihnen an?",dict.questions.empathizer_01,,,"""I know how you feel. I share your perspective."" Does that sound like you?",,,,
,84,"""First I need to finish one thing, then I can move on to another.""","""Nejprve musím dokončit jednu věc, pak se mohu přesunout ke druhé."" ","""D'abord, j'ai besoin de terminer une chose, avant de passer à une autre.""","""Erst muss ich eine Sache zu Ende bringen, dann kann ich zur nächsten übergehen.""",dict.questions.concentrated_01,,,"""First I need to finish one thing, then I can move on to another.""",,,,
,85,"""If you need someone who sets up processes and deadlines, just give me a call.""","""Pokud potřebujete někoho, kdo nastaví procesy a termíny, dejte mi vědět."" ","""Si vous avez besoin de quelqu'un qui met en place des protocoles et des échéances, appelez-moi.""","""Wenn Sie jemanden brauchen, der Prozesse und Fristen festlegt, rufen Sie mich einfach an.""",dict.questions.lover_of_order_01,,,"""If you need someone who sets up processes and deadlines, just give me a call.""",,,,
,86,"""My life is all about learning new things."" Is that you?","""Můj život je hlavně o učení se novým věcem."" Jste to Vy?","""Ma vie consiste à apprendre de nouvelles choses."" Est-ce vous?","""In meinem Leben geht es darum, neue Dinge zu lernen."" Sind Sie das?",dict.questions.self_developer_01,,,"""My life is all about learning new things."" Is that you?",,,,
dict.questions.positive_01,87,"""Look how beautiful it is."" Do you also seek positivity?","""Podívej, jak je to krásné."" Také se na všem snažíte vidět to pozitivní?","""Regardez comme c'est beau."" Essayez-vous également de voir le côté positif des choses ?","""Schau, wie schön es ist."" Suchen Sie auch nach Positivem?",,Performed,Found,"""Look how beautiful it is."" Do you also seek positivity?","""Stop moaning! Look how beautiful it is."" Do you also seek positivity?",0.8653846153846154,dict.questions.positive_01,
dict.questions.responsible_01,88,"""When I say I commit to it, I commit to it. You bet I'm reliable.""","""Když řeknu, že se k tomu zavážu, tak se k tomu zavážu. Na mě je spolehnutí.""","""Quand je dis que je m'en occupe, Je m'en occupe. Bien sûr que je suis fiable.""","""Wenn ich sage, dass ich mich verpflichte, dann tue ich das auch. Darauf können Sie wetten, dass ich zuverlässig bin. """,,Performed,Found,"""When I say I commit to it, I commit to it. You bet I'm reliable.""","""When I say I commit to it, I commit to it. You bet I'm responsible.""",0.8952380952380953,dict.questions.responsible_01,
,89,"""I know I can do great things. I strongly believe in myself!""","""Vím, že jsem schopný skvělých věcí. Pevně v sebe ​​věřím!""","""Je sais que je peux faire de grandes choses. Je crois fermement en moi!""","""Ich weiß, dass ich Großes leisten kann. Ich glaube fest an mich!""",dict.questions.self_believer_01,,,"""I know I can do great things. I strongly believe in myself!""",,,,
,90,"""We simply need to solve this. No issue will be swept under the rug!""","""Prostě to musíme vyřešit. Žádný problém nebude zameten pod koberec!""","""Nous devons simplement résoudre ce problème. Rien ne sera balayé sous le tapis!""","""Wir müssen das Problem einfach lösen. Kein Problem wird unter den Teppich gekehrt!""",dict.questions.solver_01,,,"""We simply need to solve this. No issue will be swept under the rug!""",,,,
,91,"I often ask - ""What if?"" Do you naturally consider consequences and apply strategic thinking?",Často se ptám - „Co když?“ Zvažujete přirozeně důsledky a používáte strategické myšlení?,"Je me demande souvent -"" Et si?"" Considérez-vous naturellement les conséquences et appliquez-vous une réflexion stratégique?","Ich frage oft - ""Was wäre wenn?"" Ist es für Sie selbstverständlich, Konsequenzen zu bedenken und strategisches Denken anzuwenden?",dict.questions.strategist_01,,,"I often ask - ""What if?"" Do you naturally consider consequences and apply strategic thinking?",,,,
dict.questions.intellectual_01,92,"""I enjoy thinking about various things."" Does that sound like you?","""Rád přemýšlím nad různými věcmi."" Zní to jako Vy?","""J'aime penser à diverses choses."" Est-ce que cela vous ressemble?","""Ich denke gerne über verschiedene Dinge nach."" Klingt das nach Ihnen?",,Performed,Found,"""I enjoy thinking about various things."" Does that sound like you?","""No matter what it's about, I enjoy thinking about it."" Does that sound like you?",0.6776859504132231,dict.questions.intellectual_01,
,93,"""Hey everyone, let's start!"" Does it sound like you?","„Ahoj všichni, pojďme na to vlítnout“ Zní to jako Vy?","""Salut tout le monde, on y va!"" Est-ce que cela vous ressemble?","""Hey Leute, lasst uns anfangen!"" Hört sich das nach Ihnen an?",dict.questions.initiator_02,,,"""Hey everyone, let's start!"" Does it sound like you?",,,,
,94,"""No matter what the situation is, I just fit in and adapt.""","""Bez ohledu na to, jaká je situace, jednoduše se přizpůsobím.""","""Quelle que soit la situation, j'adhère et m'adapte.""","""Egal wie die Situation ist, ich passe mich einfach an",dict.questions.flexible_02,,,"""No matter what the situation is, I just fit in and adapt.""",,,,
,95,"""Analyzing things comes easily to me.""","""Analyzování různých věcí mi jde obyčejně snadno.""","""Analyser les choses est facile pour moi.""","""Es fällt mir leicht, Dinge zu analysieren.""",dict.questions.analyser_02,,,"""Analyzing things comes easily to me.""",,,,
dict.questions.believer_02,96," ""I believe in my values. They are a central part of who I am."""," ""Věřím ve své hodnoty. Utváří to, kým jsem.""","""Je crois en mes valeurs. Elles me définissent.""","""Ich glaube an meine Werte. Sie sind ein zentraler Bestandteil meiner Person.""",,Performed,Found," ""I believe in my values. They are a central part of who I am.""","""I believe in my values. They are a central part of who I am.""",1,dict.questions.believer_02,
dict.questions.ideamaker_02,97,"""Let's sit down and think this all the way through. Let me share my ideas with you, guys."" ","„Posaďme se a promysleme to. Rád Vám k tomu řeknu, co mě napadlo.“","""Posons-nous et réfléchissons-y. Permettez-moi de partager mes idées avec vous.""","""Setzen wir uns hin und denken wir gründlich darüber nach. Lasst mich meine Ideen mit euch teilen, Leute.""",,Performed,Found,"""Let's sit down and think this all the way through. Let me share my ideas with you, guys."" ","""Let's sit down and think this all the way through. Let me share my ideas with you, guys."" Is that you?",0.935064935064935,dict.questions.ideamaker_02,
,98,"""Yes, I love to listen to people and give feedback."" I am a born coach!","""Ano, rád poslouchám lidi a dávám zpětnou vazbu."" Jsem rozený kouč!","""Oui j'adore écouter les gens et leur donner mon avis."" Je suis né coach.","""Ja, ich mag es, Menschen zuzuhören und Feedback zu geben. Ich bin ein geborener Coach!",dict.questions.coach_02,,,"""Yes, I love to listen to people and give feedback."" I am a born coach!",,,,
,99,"""I love to be in charge, and I have no problem speaking up!""","""Rád mám různé věci na starost a nedělá mi problém si je obhájit""","""J'adore être responsable des choses, et les défendre!","""Ich trage gerne die Verantwortung, und ich habe kein Problem damit, meine Meinung zu sagen!",dict.questions.leader_02,,,"""I love to be in charge, and I have no problem speaking up!""",,,,
dict.questions.communicator_02,100,"""Storyteller is my middle name :-)""","""Mým druhým jménem je vypravěč :-)""","""Orateur est mon deuxième prénom :-)""","""Geschichtenerzähler ist mein zweiter Vorname :-)""",,Performed,Found,"""Storyteller is my middle name :-)""","""Storyteller is my middle name.""",0.8928571428571429,dict.questions.communicator_02,
dict.questions.challenger_02,101,"""Where is the contest? I want to be there and win!""","""Kde je nějaká soutěž? Chci se jí zúčastnit a vyhrát!""","""Où-est la compétition? Je veux y participer et gagner!""","""Wo gibt es einen Wettbewerb? Ich möchte teilnehmen und gewinnen!""",dict.questions.challenger_02,,,"""Where is the contest? I want to be there and win!""",,,,
dict.questions.mediator_02,102,"""We must all take care of the unity of humankind. We are all connected."" Do you feel the same?","""Všichni musíme dbát o jednotu lidstva. Všichni jsme propojeni."" Cítíte to stejné?","""Nous devons tous prendre soin de l'unité de l'humanité. Nous sommes tous connectés."" Est-ce que tu ressens la même chose?","""Wir müssen uns alle um die Einheit der Menschheit kümmern. Wir sind alle miteinander verbunden."" Sehen Sie das auch so?",dict.questions.mediator_02,,,"""We must all take care of the unity of humankind. We are all connected."" Do you feel the same?",,,,
dict.questions.empathizer_02,103,"""I easily help others to find the right words to express their feelings.""","""Rád pomáhám ostatním najít ta správná slova, aby vyjádřili své pocity.""","""J'aide facilement les autres à trouver les mots justes pour exprimer leurs sentiments.""","""Ich mag es, anderen zu helfen, die richtigen Worte zu finden, um ihre Gefühle auszudrücken.""",dict.questions.empathizer_02,,,"""I easily help others to find the right words to express their feelings.""",,,,
