manual_keys,index_column,en,cs,fr,de_en,de_cz,es,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
dashboard.section-1.heading,15,Who am I,Kdo jsem,Qui suis-je ?,Wer bin Ich,Wer bin Ich,Quién soy,,Performed,Found,Who am I,Who I am,0.6,dashboard.section-1.heading,
dashboard.section-1.perex,16,Before you set where you are heading it's good to know from where you started.,"Než si ur?íte sm?r, kam mí?íte, je dobré v?d?t, kde za?ínáte.","Avant d'établir votre objectif, il est bon de savoir d'oů vous partez.","Bevor Sie festlegen, wohin Sie gehen, ist es gut zu wissen, wo Sie anfangen.","Bevor Sie feststellen, wohin Sie gehen, ist es gut zu wissen, wo Sie anfangen.","Antes de establecer hacia dónde se dirige, es bueno saber de dónde comienza.",,Performed,Found,Before you set where you are heading it's good to know from where you started.,Before you set where you are heading it's good to know from where you start,0.975609756097561,dashboard.section-1.perex,
dashboard.cards.strengths.title.filled,17,My strengths,Mé silné stránky,Mes forces,Finde meine Stärken,Meine Stärken aufdecken,Encuentra mis fortalezas,dashboard.cards.strengths.title.filled,,,My strengths,,,,
,18,Set my values,Ur?it si své hodnoty,Déterminer mes valeurs,Setzen Sie meine Werte,Um ihre Werte zu bestimmen,Establecer mis valores,dashboard.cards.values.title.empty,,,Set my values,,,,
,19,My notes,Moje poznámky,Mes notes,Meine Notizen,Meine Notizen,Mis notas,dashboard.cards.notes.title,,,My notes,,,,
dashboard.cards.notes.placeholder.empty,20,Type something...,Napište n?co...,Écrivez quelque chose…,Schreibe etwas...,Schreibe etwas ...,Escribe algo...,,Performed,Found,Type something...,Type something,0.8888888888888888,dashboard.cards.notes.placeholder.empty,
,21,Who to become,Kým se stát,Qui devenir?,Wer zu werden,Werden,A quien convertirse,dashboard.section-2.heading,,,Who to become,,,,
,22,Become a better leader and here is how you get there.,Sta?te se lepším leaderem a tímto se tam dostanete.,Devenez un meilleur leader et voici comment vous y parviendrez.,"Werden Sie ein besserer Anführer und hier ist, wie Sie dorthin gelangen.",Werden Sie ein besserer Anführer und Sie werden dort ankommen.,Conviértete en un mejor líder y así es como llegas allí.,dashboard.section-2.perex,,,Become a better leader and here is how you get there.,,,,
,23,Set area for my development,Nastavit oblast pro sv?j rozvoj,Définir un périmčtre pour son développement.,Setzen Sie den Bereich für meine Entwicklung,Stellen Sie einen Bereich für Ihre Entwicklung fest,Establecer área para mi desarrollo,dashboard.cards.sessions.title.empty,,,Set area for my development,,,,
,24,My leadership journey,Moje leadership cesta,Mon chemin vers le leadership,Meine Führungsreise,Mein Führungspfad,Mi viaje de liderazgo,dashboard.rightmenu.title,,,My leadership journey,,,,
,25,No upcoming sessions,Není nastaven osobní rozvoj,Aucunes sessions ŕ venir.,Keine bevorstehenden Sitzungen,Es ist keine persönliche Entwicklung eingerichtet,No hay sesiones próximas,dashboard.rightmenu.upcoming.title.empty,,,No upcoming sessions,,,,
dashboard.rightmenu.upcoming.perex.empty,26,Sessions with a coach will appear here,Osobní rozvoj s kou?em se zobrazí zde,Les sessions avec un coach/formateur vont ętre visibles ici.,Sitzungen mit einem Trainer werden hier anfallen,Die persönliche Entwicklung mit einem Trainer wird hier erscheinen,Las sesiones con un entrenador aparecerán aquí,,Performed,Found,Sessions with a coach will appear here,Sessions with a coach will apear here,0.9836065573770492,dashboard.rightmenu.upcoming.perex.empty,
dashboard.rightmenu.upcoming.start,27,Start session,Spustit osobní rozvoj,Démarrer une session.,Starten Sie die Sitzung,Persönliche Entwicklung führen,Sesión de inicio,,Performed,Found,Start session,Start Session,0.8181818181818182,dashboard.rightmenu.upcoming.start,
,28,Actions,Aktivity,Les actions,Aktionen,Aktivitäten,Comportamiento,,Performed,Found,Actions,Action,0.9090909090909091,team.members.table.col.action,team.members.table.col.action
,29,No actions set,Aktivity nejsou ur?eny,Aucune action définie.,Keine Aktionen festgelegt,Aktivitäten werden nicht bestimmt,Sin acciones establecidas,,Performed,Found,No actions set,Set action steps,0.5833333333333334,"sessions.edit.steps.setaction.label,sessions.new.steps.actionsteps.label",
dashboard.rightmenu.upcoming.perex.empty,30,"Once you set a goal, actions will apear here","Jakmile si stanovíte cíl, aktivity se zobrazí zde","Dčs lors que vous établissez un objectif, les actions/tâches apparaîtront ici.","Sobald Sie sich ein Ziel gesetzt haben, werden die Aktionen hier Apear apear","Sobald Sie sich ein Ziel gesetzt haben, erscheinen die Aktivitäten hier","Una vez que establezca una meta, las acciones aparecerán aquí",,Performed,Found,"Once you set a goal, actions will apear here",Sessions with a coach will apear here,0.5538461538461539,dashboard.rightmenu.upcoming.perex.empty,
,31,Notifications,Oznámení,Les notifications,Benachrichtigungen,Benachrichtigung,Notificaciones,,Performed,Found,Notifications,Motivation,0.5714285714285714,sessions.new.steps.motivation.label,
,32,Chat with,Chatovat s,Échanger avec,Plaudern mit,Plaudern mit,Charlar con,,Performed,Found,Chat with,Sign in with Google,0.2727272727272727,auth.login.google,
,33,Cancel,Zrušit,Annuler,Stornieren,Stornieren,Cancelar,coaches.contact.button.cancel|settings.general.button.cancel,,,Cancel,,,,
,34,Send,Poslat,Envoyer,Schicken,Schicken,Enviar,coaches.contact.button.send,,,Send,,,,
,35,Back to the dashboard,Zp?t na p?ehled,Retour au tableau de board.,Zurück zum Dashboard,Zurück zur Übersicht,Volver al tablero,assessment.header.back|strengths.header.back|values.header.back,,,Back to the dashboard,,,,
,36,Back,"Zp?t  ",Revenir,Der Rücken,Zurück,atrás,assessment.button.back|controls.back,,,Back,,,,
,37,Next,Další,Suivant,Nächste,Nächste,Próximo,assessment.button.next|controls.next|sessions.new.steps.area.next,,,Next,,,,
,38,Not me at all,To v?bec nejsem já,Ne me correspond pas du tout.,Überhaupt nicht ich,Ich bin es überhaupt nicht,Yo no yo en absoluto,score.min,,,Not me at all,,,,
,39,Totally me,Úpln? já,Me correspond entičrement.,Vollständig Ich,Vollständig,Totalmente yo,score.max,,,Totally me,,,,
,40,Save assessment,Uložit vyhodnocení,Enregistrer l'évaluation.,Bewertung sparen,Auswerten,Guardar evaluación,assessment.menu.save,,,Save assessment,,,,
,41,Find my strengths assessment,Vyhodnocení mých silných stránek,Retrouver l'évaluation de mes atouts.,Finden Sie meine Stärkenbewertung,Bewertung meiner Stärken,Encuentra mi evaluación de fortalezas,assessment.menu.title|strengths.aside.title,,,Find my strengths assessment,,,,
,42,Progress,Postup,Méthodologie,Fortschritt,Methode,Progreso,assessment.menu.progress,,,Progress,,,,
,43,Questions,Otázky,Questions.,Fragen,Fragen,Preguntas,assessment.menu.questions,,,Questions,,,,
,44,Responses,Odpov?di,Réponses.,Antworten,Antworten,Respuestas,assessment.menu.responses,,,Responses,,,,
strengths.heading.title,45,Here are my strengths,Zde jsou moje silné stránky,Voici mes forces,Hier sind meine Stärken,Hier sind meine Stärken,Aquí están mis fortalezas,,Performed,Found,Here are my strengths,Here are your strengths,0.7777777777777778,strengths.heading.title,
strengths.heading.perex,,,,,,,,sessions.edit.steps.align.caption|sessions.edit.steps.align.perex|sessions.edit.steps.reflect.caption|sessions.edit.steps.setaction.caption|sessions.new.steps.area.perex,,,,,,,
,46,"Successful leaders spend most of their time developing their strengths and applying them in the workplace, while simultaneously managing their weaknesses. By understanding their strengths fully, they are able to focus more clearly on what they excel at.","Úsp?šní leade?i tráví v?tšinu ?asu rozvojem a využíváním svých silných stránek a zárove? jsou si v?domi t?ch slabých. Tím, že pln? pochopí své silné stránky, jsou lépe schopni soust?edit se na to, v ?em jsou dob?í.","Les leadersqui réussissent passent la plupart de leur temps ŕ développer leurs forces et ŕ les appliquer sur leur lieu de travail, tout en prenant en compte leurs faiblesses.","Erfolgreiche Führungskräfte verbringen die meiste Zeit damit, ihre Stärken zu entwickeln und sie am Arbeitsplatz anzuwenden und gleichzeitig ihre Schwächen zu verwalten. Indem sie ihre Stärken vollständig verstehen, können sie sich klarer auf das konzentrieren, was sie gut können.","Erfolgreiche Führungskräfte verbringen die meiste Zeit, indem sie ihre Stärken entwickeln und nutzen und sind sich der Schwachen bewusst. Indem sie ihre Stärken voll und ganz verstehen, können sie sich besser auf das konzentrieren, was sie gut können.","Los líderes exitosos pasan la mayor parte de su tiempo desarrollando sus fortalezas y aplicándolas en el lugar de trabajo mientras gestionan simultáneamente sus debilidades. Al comprender completamente sus fortalezas, pueden centrarse más claramente en lo que son buenos.",,Performed,Found,"Successful leaders spend most of their time developing their strengths and applying them in the workplace, while simultaneously managing their weaknesses. By understanding their strengths fully, they are able to focus more clearly on what they excel at.","One might say that If you value family, that it's one of the essential things you can cultivate. Family is a place where you can share love, joy and support. Family is one of the most important things given to a human being. If things work well in the family, then everyone within has hope, advice, comfort, security and much more. It's one of the most important things for a child's growth. If we have the opportunity, the ideal is that we all contribute to creating the best family possible.",0.46601941747572817,dict.values.family.description,dict.values.family.description
,47,History,P?edešlé záznamy,Historique,Geschichte,Vorherige Datensätze,Historia,strengths.aside.perex|values.aside.perex,,,History,,,,
,48,Assessment completed,Vyhodnocení dokon?eno,Session terminée.,Bewertung abgeschlossen,Bewertung abgeschlossen,Evaluación completada,,Performed,Found,Assessment completed,Retake assessment,0.5454545454545454,strengths.aside.retake-button,
,49,Retake assessment,Zopakovat vyhodnocení,Recommencer la session.,Bewertung wiederholen,Wiederholen,Evaluación de recuperación,strengths.aside.retake-button,,,Retake assessment,,,,
,50,Initiator,Iniciátor,Initiateur.,Initiator,Initiator,Iniciador,dict.talents.initiator.name,,,Initiator,,,,
,51,Flexible,Flexibilní,Flexible,Flexibel,Flexibel,Flexible,dict.talents.flexible.name,,,Flexible,,,,
,52,Analyser,Analytik,Analyste,Analysator,Analytiker,Analizador,dict.talents.analyser.name,,,Analyser,,,,
,53,Believer,Hodnotový,Croyant,Gläubige,Wert,Creyente,dict.talents.believer.name,,,Believer,,,,
,54,Ideamaker,Plný nápad?,Créateur d'idées,Idenamaker,Voller Ideen,Ideamero,dict.talents.ideamaker.name,,,Ideamaker,,,,
,55,Coach,"Kou? ",Formateur,Coach,Coach,Entrenador,dict.talents.coach.name|team.members.table.col.coach,,,Coach,,,,
,56,Leader,Leader,Leader,Führer,Führer,Líder,dict.talents.leader.name,,,Leader,,,,
,57,Communicator,?e?ník,Orateur,Kommunikator,Lautsprecher,Comunicador,dict.talents.communicator.name,,,Communicator,,,,
,58,Challenger,Vyzyvatel,Défieur,Herausforderer,Herausforderer,Desafiador,dict.talents.challenger.name,,,Challenger,,,,
,59,Connector,Propojovatel,Rassembleur,Verbinder,Linier,Conector,dict.talents.connector.name,,,Connector,,,,
,60,Empathizer,Empatický,Empathique,Einfühlungsvermögen,Einfühlsam,Empatía,dict.talents.empathizer.name,,,Empathizer,,,,
,61,Concentrated,Koncentrovaný,Concentré,Konzentriert,Konzentriert,Concentrado,dict.talents.concentrated.name,,,Concentrated,,,,
,62,Lover of order,Milovník po?ádku,Amoureux des ordres.,Reihenliebhaber,Reihenliebhaber,Amante del orden,dict.talents.loverOfOrder.name,,,Lover of order,,,,
,63,Self-Developer,Seberozvojový,Auto-développeur,Selbstentwickler,Selbstentwicklung,Autodesarrecador,,Performed,Found,Self-Developer,Self-developer,0.8461538461538461,dict.talents.selfDeveloper.name,dict.talents.selfDeveloper.name
,64,Positive,Pozitivní,Positif,Positiv,Positiv,Positivo,dict.talents.positive.name,,,Positive,,,,
,65,Reliable,Spolehlivý,Fiable,Verantwortlich,Zuverlässig,Responsable,,Performed,Found,Reliable,Reliability,0.5882352941176471,dict.values.reliability.name,
,66,Self-Believer,V??ící si,Confiant,Selbstgläubiger,Gläubige,Creyente,,Performed,Found,Self-Believer,Self-believer,0.8333333333333334,dict.talents.selfBeliever.name,dict.talents.selfBeliever.name
,67,Solver,?ešitel,Trouveur de solutions,Löser,Löser,Solucionador,dict.talents.solver.name,,,Solver,,,,
,68,Strategist,Stratég,Stratčge,Stratege,Stratege,Estratega,dict.talents.strategist.name,,,Strategist,,,,
,69,Intellectual,Intelektuál,Intellectuel,Intellektuell,Intellektuell,Intelectual,dict.talents.intellectual.name,,,Intellectual,,,,
strengths.first.summary,70,"Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.","V?d?li jste, že máte mnohem v?tší potenciál pro r?st, když investujete energii do rozvoje svých silných stránek? Mnoho výzkum? ukázalo, jak p?ístup založený na silných stránkách zlepšuje Vaši d?v?ru, sm??ování a také laskavost v??i druhým.","Saviez-vous que vous aviez bien plus de potentiel de croissance lorsque vous investissez de l'énergie dans le développement de vos forces? De nombreuses recherches ont prouvé qu'une approche basée sur vos forces améliore votre confiance en vous, la définition de vos directions et votre gentillesse envers les autres.","Wussten Sie, dass Sie viel mehr Wachstumspotenzial haben, wenn Sie Energie in die Entwicklung Ihrer Stärken investieren? Viele Forschungen haben gezeigt, wie ein auf Stärken basierender Ansatz Ihr Vertrauen, Ihre Richtung und Ihr Freundlichkeit gegenüber anderen verbessert.","Wussten Sie, dass Sie ein viel größeres Wachstumspotenzial haben, wenn Sie Energie in die Entwicklung Ihrer Stärken investieren? Viele Forschungen haben gezeigt, wie der Ansatz der Stärke Ihr Vertrauen, Ihre Richtung und Ihre Freundlichkeit gegenüber anderen verbessert.","żSabía que tiene mucho más potencial de crecimiento cuando invierte energía en el desarrollo de sus fortalezas? Muchas investigaciones han demostrado cómo un enfoque basado en fortalezas mejora su confianza, dirección y amabilidad hacia los demás.",,Performed,Found,"Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.","""Did you know that you have much more potential for growth when you invest energy in developing your strengths? Many research have shown how a strengths-based approach improves your confidence, direction, and kindness toward others.""",0.9949238578680203,strengths.first.summary,
strengths.second.summary,71,"Whilst the list of your Top 5 strengths show you the areas where you have the greatest potential to use your natural talents, here you can see the next five strengths that you should acknowledge as well. They might be a big help in your professional and private life journey.","Zatímco seznam vašich 5 nejlepších stránek ukazuje oblasti, kde máte sv?j nejv?tší potenciál, zde vidíte dalších p?t talent?, kterých byste si m?li být také v?domi. Ty by mohly být velkou pomocí na Vaší profesionální a osobní životní cest?.","Alors que la liste de vos 5 meilleurs atouts démontre les domaines oů vous avez le plus gros potentiel d'utiliser vos talents naturels, voici les 5 atouts suivants que vous devriez prendre également en compte. Ils peuvent ętre d'une grande aide dans votre vie professionnelle ainsi que dans votre parcours personnel.","Während die Liste Ihrer Top 5 Stärken Ihnen die Bereiche zeigt, in denen Sie das größte Potenzial haben, Ihre natürlichen Talente zu nutzen, können Sie hier die nächsten fünf Stenghts sehen, die Sie auch bewusst sein sollten. Sie könnten eine große Hilfe auf Ihrer professionellen und privaten Lebensreise sein.","Während die Liste Ihrer Top 5 Seiten Bereiche zeigt, in denen Sie Ihr größtes Potenzial haben, können Sie fünf weitere Talente sehen, die Sie auch kennen. Dies könnte eine große Hilfe auf Ihrer beruflichen und persönlichen Lebensreise sein.","Si bien la lista de sus 5 principales fortalezas le muestra las áreas en las que tiene el mayor potencial para usar sus talentos naturales, aquí puede ver los próximos cinco Stenghs que también debe tener en cuenta. Pueden ser de gran ayuda en su viaje de vida profesional y privada.",,Performed,Found,"Whilst the list of your Top 5 strengths show you the areas where you have the greatest potential to use your natural talents, here you can see the next five strengths that you should acknowledge as well. They might be a big help in your professional and private life journey.","""Whilst the list of your Top 5 strengths shows you the areas where you have the greatest potential to use your natural talents, here you can see the next five stenghts that you should be also aware of. They might be a big help in your professional and private life journey.""",0.90625,strengths.second.summary,
strengths.third.summary,72,"In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking. ","Pov?domí o vašich slabších stránkách Vám pom?že vyhnout se hlavním p?ekážkám. Pokuste se spolupracovat s n?kým, u kterého jsou naopak tyto talenty p?edností. ","Peut importe le rôle, il est bon de connaître les domaines oů vous avez plus de faiblesses. Dans de nombreux cas, le simple fait d'en ętre conscient peut éviter de principaux obstables. Essayez d'établir des systčmes qui vous permettront des les contrôler ou de collaborer avec quelqu'un qui a plus de talent dans ces domaines oů vous ętes plus faible.","In jeder Rolle ist es gut, Ihre Bereiche weniger Talent zu kennen. In vielen Fällen kann es Ihnen helfen, wichtige Hindernisse zu vermeiden. Versuchen Sie entweder, Systeme zu etablieren, um sie zu verwalten, oder versuchen Sie, mit jemandem zusammenzuarbeiten, der mehr Talente in den Bereichen hat, in denen Sie fehlen.","Das Bewusstsein für Ihre schwächeren Seiten hilft Ihnen dabei, die Haupthindernisse zu vermeiden. Versuchen Sie, mit jemandem zusammenzuarbeiten, der andererseits die Vorteile dieser Talente ist.","En cualquier papel, es bueno conocer sus áreas de menor talento. En muchos casos, simplemente estar al tanto de sus áreas de menor talento puede ayudarlo a evitar las principales barreras. Trate de establecer sistemas para administrarlos o tratar de asociarse con alguien que tenga más talento en las áreas en las que le falta.",,Performed,Found,"In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking. ","""In any role, it’s good to know your areas of lesser talent. In many cases, simply being aware of your areas of lesser talent can help you avoid major barriers. Either try to establish systems to manage them or try to partner with someone who has more talent in the areas in which you are lacking.""",0.995850622406639,strengths.third.summary,
,73,"""Don't stop me now!"" Do you find yourself often in a situation where you just need to take action?","„Nezastavujte m? te?!“ Nacházíte se ?asto v situaci, kdy prost? musíte jednat?","""Ne m'arręte pas maintenant!"" Vous retrouvez-vous souvent dans des situations oů vous avez juste besoin d'agir?","""Hör mich jetzt nicht auf!"" Finden Sie sich oft in einer Situation, in der Sie nur Maßnahmen ergreifen müssen?","""Hör mich jetzt nicht auf!"" Sind Sie oft in einer Situation, in der Sie nur handeln müssen?","""ˇNo me detengas ahora!"" żTe encuentras a menudo en una situación en la que solo necesitas tomar medidas?",dict.questions.initiator_01,,,"""Don't stop me now!"" Do you find yourself often in a situation where you just need to take action?",,,,
dict.questions.flexible_01,74,"""I can adapt easily to various changes."" Is that you?","""Dokážu se snadno p?izp?sobit r?zným zm?nám."" Jste to Vy?","""Je peux m'adapter facilement ŕ différents changements?"" Est-ce vous?","""Ich kann mich leicht an verschiedene Änderungen anpassen."" Sind Sie das?","""Ich kann mich leicht an verschiedene Veränderungen anpassen."" Bist du es?","""Puedo adaptarme fácilmente a varios cambios"". żEres tu?",,Performed,Found,"""I can adapt easily to various changes."" Is that you?","""I can adapt easily to different changes."" Is that you?",0.7954545454545454,dict.questions.flexible_01,
,75,"""I love it when I can back things up with facts and logical thinking.""","""Miluji to, když m?žu v?ci podpo?it fakty a logickým myšlením.""",""" J'adore quand je peux assurer des choses grâce ŕ des preuves réelles et une réflexion logique.""","""Ich liebe es, wenn ich die Dinge mit Fakten und logischem Denken unterstützen kann.""","""Ich liebe es, wenn ich Dinge durch Fakten und logisches Denken unterstützen kann.""","""Me encanta cuando puedo respaldar las cosas con hechos y pensamiento lógico"".",dict.questions.analyser_01,,,"""I love it when I can back things up with facts and logical thinking.""",,,,
,76,"""Don't question my values! I don't compromise important things in my life.""","""Nezpochyb?ujte mé hodnoty! Ned?lám kompromisy v d?ležitých v?cech v mém život?.""",""" Ne remettez-pas en question mes valeurs! Dans ma vie je ne fais pas de compromis avec les choses importantes.""","""Fragen Sie meine Werte nicht in Frage! Ich Kompromiss wichtige Dinge in meinem Leben nicht.""","""Fragen Sie meine Werte nicht in Frage! Ich Kompromisse bei wichtigen Dingen in meinem Leben nicht.""","""ˇNo cuestiones mis valores! No comprometo cosas importantes en mi vida"".",dict.questions.believer_01,,,"""Don't question my values! I don't compromise important things in my life.""",,,,
,77,"""Do I have new ideas?! Plenty and often!""","""Jestli mám nové nápady?! Ano, spoustu a ?asto!""","""Est-ce que j'ai de nouvelles idées?! Oui, de nombreuses et souvent!""","""Habe ich neue Ideen?! Viel und oft!""","""Wenn ich neue Ideen habe?! Ja, viel und oft!""","""żTengo nuevas ideas?",dict.questions.ideamaker_01,,,"""Do I have new ideas?! Plenty and often!""",,,,
,78,"""Come on, you can do it!"" Do you like to help others to succeed?","""No tak, ty to zvládneš!"" Rádi pomáháte ostatním k úsp?chu?","""Allez, tu peux y arriver! Aimes-tu aider les autres ŕ réussir?""","""Komm schon, du kannst es!"" Möchten Sie anderen helfen, erfolgreich zu sein?","""Nun, du kannst es schaffen!"" Möchten Sie anderen helfen, erfolgreich zu sein?","""ˇVamos, puedes hacerlo!"" żTe gusta ayudar a otros a tener éxito?",dict.questions.coach_01,,,"""Come on, you can do it!"" Do you like to help others to succeed?",,,,
,79,"""When I feel it's important, I am not afraid to take charge.""","""Nebojím se vzít si na starost d?ležité v?ci.""","""Dčs lors que je ressens que c'est important, je n'ai pas peur de prendre les choses en main.""","""Wenn ich es für wichtig halte, habe ich keine Angst, die Verantwortung zu übernehmen.""","""Ich habe keine Angst, sich um wichtige Dinge zu kümmern.""","""Cuando siento que es importante, no tengo miedo de hacerse cargo"".",dict.questions.leader_01,,,"""When I feel it's important, I am not afraid to take charge.""",,,,
,80,"""You like to host, speak and be listened to. Is that your style?""","„Rád mluvím a ve?ejn? vystupuji"". Je to Váš styl?","""J'aime accueillir, parler et ętre écouté. Est-ce votre style?","""Sie möchten gerne hosten, sprechen und hören. Ist das Ihr Stil?""","""Ich spreche gerne öffentlich"". Ist das dein Stil?","""Te gusta alojar, hablar y ser escuchado. żEs ese tu estilo?""",dict.questions.communicator_01,,,"""You like to host, speak and be listened to. Is that your style?""",,,,
,81,"""I'll win, I'll win. I was born to win!""","""Vyhraju, vyhraju. Narodil jsem se, abych vyhrál/a!"" Sedí to na Vás?","""Je vais gagner, je vais gagner. Je suis né pour gagner.""","""Ich werde gewinnen, ich werde gewinnen. Ich wurde geboren, um zu gewinnen!""","""Ich werde gewinnen, ich werde gewinnen. Ich wurde geboren, um zu gewinnen!"" Sitzt es auf dir?","""Ganaré, ganaré. ˇNací para ganar!""",dict.questions.challenger_01,,,"""I'll win, I'll win. I was born to win!""",,,,
,82,"""Come on guys, just agree on something!"" I am the bridge builder.","""No tak, lidi, už se na n??em shodn?te!"" Já stavím mosty. ","Allez, mettez-vous d'accord sur quelque chose!"" Je suis le médiateur.","""Komm schon Leute, stimmst einfach etwas zu!"" Ich bin der Brückenbauer.","""Komm schon, Leute, stimmst schon etwas zu!"" Ich baue Brücken.","""ˇVamos chicos, solo están de acuerdo en algo!"" Soy el constructor de puentes.",dict.questions.mediator_01,,,"""Come on guys, just agree on something!"" I am the bridge builder.",,,,
,83,"""I know how you feel. I share your perspective."" Does that sound like you?","""Vím, jak se cítíš. Sdílím tvoje starosti."" Zní to jako Vy?","""Je sais ce que tu ressens. Je partage ton point de vue."" Est-ce que cela vous ressemble?","""Ich weiß, wie du dich fühlst. Ich teile deine Perspektive."" Klingt das wie du?","""Ich weiß, wie du dich fühlst. Ich teile deine Sorgen."" Klingt das wie du?","""Sé cómo te sientes. Comparto tu perspectiva"". żEso suena como tú?",dict.questions.empathizer_01,,,"""I know how you feel. I share your perspective."" Does that sound like you?",,,,
,84,"""First I need to finish one thing, then I can move on to another.""","""Nejprve musím dokon?it jednu v?c, pak se mohu p?esunout ke druhé."" ","""D'abord, j'ai besoin de terminer une chose, avant de passer ŕ une autre.""","""Zuerst muss ich eine Sache beenden, dann kann ich zu einer anderen übergehen.""","""Zuerst muss ich eine Sache beenden, dann kann ich zu einer anderen ziehen.""","""Primero necesito terminar una cosa, luego puedo pasar a otra"".",dict.questions.concentrated_01,,,"""First I need to finish one thing, then I can move on to another.""",,,,
,85,"""If you need someone who sets up processes and deadlines, just give me a call.""","""Pokud pot?ebujete n?koho, kdo nastaví procesy a termíny, dejte mi v?d?t."" ","""Si vous avez besoin de quelqu'un qui met en place des protocoles et des échéances, appelez-moi.""","""Wenn Sie jemanden brauchen, der Prozesse und Fristen einrichtet, rufen Sie mich einfach an.""","""Wenn Sie jemanden brauchen, um Prozesse und Begriffe einzurichten, lassen Sie es mich wissen.""","""Si necesitas a alguien que establezca procesos y plazos, solo llámame"".",dict.questions.lover_of_order_01,,,"""If you need someone who sets up processes and deadlines, just give me a call.""",,,,
,86,"""My life is all about learning new things."" Is that you?","""M?j život je hlavn? o u?ení se novým v?cem."" Jste to Vy?","""Ma vie consiste ŕ apprendre de nouvelles choses."" Est-ce vous?","""In meinem Leben geht es darum, neue Dinge zu lernen."" Sind Sie das?","""In meinem Leben geht es darum, neue Dinge zu lernen."" Bist du es?","""Mi vida se trata de aprender cosas nuevas"". żEres tu?",dict.questions.self_developer_01,,,"""My life is all about learning new things."" Is that you?",,,,
